,localizacao,tamanho_quartos,valor
67, ilha de santa rita 07 - Marechal Deodoro - Alagoas , 71 m² construídos | 2 quartos ,165.000
68, Poço - Maceió - Alagoas , 107 m² totais | 4 quartos ,360.000
69, Marechal Deodoro - Alagoas , 560 m² construídos | 3 quartos ,1.700.000
70, Rua Djalma Mendonça - Gruta de Lourdes - Maceió - Alagoas , 345 m² construídos | 4 quartos ,490.000
71, Jacintinho - Maceió - Alagoas , 180 m² totais | 3 quartos ,275.000
72, Rua Guaicurus 33 - Ponta Grossa - Maceió - Alagoas , 110 m² construídos | 2 quartos ,240.000
73, RUA MANUEL AFONSO - Jacintinho - Maceió - Alagoas , 300 m² construídos | 3 quartos ,450.000
74, Serraria - Maceió - Alagoas , 222 m² construídos | 3 quartos ,680.000
75, Maceió - Alagoas , 266 m² construídos | 4 quartos ,550.000
76, Gruta de Lourdes - Maceió - Alagoas , 199 m² construídos | 3 quartos ,550.000
77, Verdes Campos - Arapiraca - Alagoas , 515 m² construídos | 5 quartos ,2.128.000
78, Poço - Maceió - Alagoas , 232 m² totais | 3 quartos ,500.000
79, Santa Amélia - Maceió - Alagoas , 400 m² construídos | 4 quartos ,900.000
80, Serraria - Maceió - Alagoas , 365 m² totais | 4 quartos ,1.600.000
81, Rodovia Doutor Ib Gatto Marinho Falcão - Marechal Deodoro - Alagoas , 350 m² construídos | 4 quartos ,1.090.000
82, Marechal Deodoro - Alagoas , 135 m² construídos | 3 quartos ,244.990
83, Barro Duro - Maceió - Alagoas , 450 m² totais | 3 quartos ,490.000
84, Avenida Eraldo Lins Cavalcante - Serraria - Maceió - Alagoas , 307 m² construídos | 4 quartos ,980.000
85, Farol - Maceió - Alagoas , 900 m² construídos | 8 quartos ,10.000.000
86, Serraria - Maceió - Alagoas , 280 m² totais | 4 quartos ,650.000
87, Serraria - Maceió - Alagoas , 300 m² construídos | 4 quartos ,650.000
88, Serraria - Maceió - Alagoas , 288 m² totais | 4 quartos ,1.300.000
89, Serraria - Maceió - Alagoas , 320 m² construídos | 4 quartos ,1.200.000
90, Maceió - Alagoas , 462 m² totais | 4 quartos ,1.150.000
91, Serraria - Maceió - Alagoas , 288 m² construídos | 4 quartos ,1.300.000
92, Maceió - Alagoas , 112 m² construídos | 2 quartos ,650.000
93, Serraria - Maceió - Alagoas , 387 m² construídos | 4 quartos ,800.000
94, francês 196 - Marechal Deodoro - Alagoas , 280 m² construídos | 3 quartos ,450.000
95, Ponta Grossa - Maceió - Alagoas , 200 m² totais | 4 quartos ,240.000
96, Avenida Menino Marcelo - Serraria - Maceió - Alagoas , 397 m² construídos | 3 quartos ,1.380.000
97, Maceió - Alagoas , 293 m² construídos | 4 quartos ,900.000
98," LIMEIRA S/P, - Verdes Campos - Arapiraca - Alagoas ", 200 m² totais | 2 quartos ,250.000
