,localizacao,tamanho_quartos,valor
127, Morada da Praia - Bertioga/SP - Bertioga - São Paulo , 504 m² construídos | 4 quartos ,1.000.000
128," DOS COQUEIROS, R - Campestre - Santo André - São Paulo ", 70 m² construídos | 2 quartos ,1.400
129," Rua das Figueiras, 11101 - Jardim - Santo André - São Paulo ", 800 m² construídos ,18.000
130, Cajamar - São Paulo , 3 quartos ,650.000
131, Residencial 2000 - Uberaba - Minas Gerais , 180 m² construídos | 3 quartos ,380.000
132," PARAGUAI, R - Parque das Nações - Santo André - São Paulo ", 150 m² construídos | 3 quartos ,610.000
133, Doutor Fernando Jorge Mendes 100 - Chácara Flora - São Paulo Zona Sul - São Paulo , 1300 m² construídos | 5 quartos ,9.990.000
134," MARIO NARCISO STOCCO, R - Nova Petrópolis - São Bernardo do Campo - São Paulo ", 280 m² totais | 3 quartos ,990.000
135, Casa Branca - Casa Branca - Santo André - São Paulo , 3600 m² construídos ,49.500
136," Avenida Portugal, 1270 - Centro - Santo André - São Paulo ", 411 m² construídos | 8 quartos ,12.000
137, Vila Assunção - Vila Assunção - Santo André - São Paulo , 290 m² construídos | 3 quartos ,1.800.000
138, Rua Marginal 6529 - Balneário Gaivota - Itanhaém - São Paulo , 100 m² construídos | 3 quartos ,160.000
139," AGUAPEI, R - Santa Maria - Santo André - São Paulo ", 283 m² construídos | 3 quartos ,4.400
140, Rua Marginal 4999 - Jardim Das Palmeiras - Itanhaém - São Paulo , 74 m² construídos | 2 quartos ,80.000
141," Alameda Ribeirão Preto, - Alphaville - Santana de Parnaíba - São Paulo ", 398 m² construídos | 4 quartos ,2.500.000
142," LOPES TROVAO, R - Centro - São Bernardo do Campo - São Paulo ", 148 m² totais | 3 quartos ,1.180.000
143," BRAGA, R - Vila Lusitânia - São Bernardo do Campo - São Paulo ", 527 m² totais | 5 quartos ,5.000.000
144," ARAL, R - Jardim do Mar - São Bernardo do Campo - São Paulo ", 250 m² totais | 4 quartos ,1.272.000
145," NEMER FERES RAHALL, R - Ferrazópolis - São Bernardo do Campo - São Paulo ", 330 m² totais | 3 quartos ,650.000
146, Vila Alpina - São Paulo Zona Leste - São Paulo , 96 m² totais | 3 quartos ,470.000
147, Centro - Centro - São Bernardo do Campo - São Paulo , 320 m² construídos | 3 quartos ,900.000
148, Rua Americana - Jardim Imperial - Valinhos - São Paulo , 132 m² construídos | 3 quartos ,480.000
149, Av. Monteiro Lobato 10374 - Suarão - Itanhaém - São Paulo , 50 m² construídos | 2 quartos ,154.000
150," DOMINGOS DE AZEVEDO, R - Vila Nogueira - Diadema - São Paulo ", 152 m² totais | 2 quartos ,470.000
151, Itanhaém - São Paulo , 65 m² construídos | 2 quartos ,253.000
152, Vila Príncipe de Gales - Vila Príncipe de Gales - Santo André - São Paulo , 172 m² construídos | 3 quartos ,550.000
153, Jardim Pinheirinho - Embu das Artes - São Paulo , 125 m² construídos | 2 quartos ,1.090
154, Avenida Papa João Paulo II - Urbanova VI - São José dos Campos - São Paulo , 279 m² construídos | 3 quartos ,810.000
155," DOIS DE OUTUBRO, R - Santa Terezinha - São Bernardo do Campo - São Paulo ", 160 m² totais | 3 quartos ,750.000
156, Rua bruno palazzini 333 - Jardim Marek - Santo André - São Paulo , 227 m² construídos | 3 quartos ,650.000
157, CONDOMINIO SUNVILLE - Arujá/SP - Arujá - São Paulo , 183 m² construídos | 3 quartos ,826.300
158, Casa Branca - Casa Branca - Santo André - São Paulo , 300 m² construídos ,12.000
159, VILA LINDA - Vila Linda - Santo André - São Paulo , 163 m² construídos | 4 quartos ,530.000
160," Avenida Fábio Ferraz Bicudo, 1099 - Jardim Residencial Dona Lucilla - Indaiatuba - São Paulo ", 263 m² construídos | 4 quartos ,1.399.000
161, Indaiatuba - São Paulo , 185 m² construídos | 3 quartos ,800.000
162, Jardim Montreal Residence - Indaiatuba - São Paulo , 105 m² construídos | 3 quartos ,549.000
163, Chácara Belvedere - Indaiatuba - São Paulo , 272 m² construídos | 4 quartos ,1.099.000
164, Jardim Montreal Residence - Indaiatuba - São Paulo , 105 m² construídos | 3 quartos ,519.000
165, Vila Rubens - Indaiatuba - São Paulo , 216 m² construídos | 3 quartos ,629.000
166, Indaiatuba - São Paulo , 260 m² construídos | 4 quartos ,1.749.000
167," Avenida Fábio Ferraz Bicudo, 1099 - Jardim Residencial Dona Lucilla - Indaiatuba - São Paulo ", 230 m² construídos | 4 quartos ,1.329.000
168, Itanhaém - São Paulo , 55 m² construídos | 2 quartos ,195.000
169, Praia Grande - São Paulo , 55 m² construídos | 2 quartos ,170.000
170, Praia Grande - São Paulo , 89 m² construídos | 2 quartos ,240.000
171, Praia Grande - São Paulo , 55 m² construídos | 2 quartos ,195.000
172, Rua Liberato Salvador - Nova Petrópolis - São Bernardo do Campo - São Paulo , 174 m² construídos | 3 quartos ,720.000
173," MONTE ALEGRE, R - Santo Antônio - São Caetano do Sul - São Paulo ", 65 m² construídos | 1 quarto ,1.200
174, Indaiatuba - São Paulo , 145 m² construídos | 3 quartos ,639.000
175, Jardim Vista Verde - Indaiatuba - São Paulo , 117 m² construídos | 3 quartos ,569.000
176, Av. Monteiro Lobato 10374 - Vila Atlântica - Mongaguá - São Paulo , 79 m² construídos | 2 quartos ,290.000
177, Rua Vitória da Conquista - Parque das Seringueiras - Guarulhos - São Paulo , 36 m² construídos | 1 quarto ,550
178, Bonfim Paulista - Ribeirão Preto - São Paulo , 220 m² construídos | 3 quartos ,745.000
179, Rua Vale de Amoreira - Jardim Miriam - São Paulo Zona Sul - São Paulo , 45 m² construídos | 1 quarto ,800
180, Praia Grande - São Paulo , 49 m² construídos | 2 quartos ,180.000
181," VINTE E QUATRO DE FEVEREIRO, R - Casa Branca - Santo André - São Paulo ", 49 m² construídos | 1 quarto ,260.000
182, Jardim Colonial - Indaiatuba - São Paulo , 208 m² construídos | 3 quartos ,399.000
183, Itanhaém - São Paulo , 2 quartos ,155.000
184, Aviação - Praia Grande - São Paulo , 45 m² construídos | 2 quartos ,210.000
185, RUA TUPINAMBA 210 - Estreito - Florianópolis - Santa Catarina , 319 m² construídos | 4 quartos ,1.500.000
186, Itanhaém - São Paulo , 55 m² totais | 2 quartos ,169.000
187, Itanhaém - São Paulo , 68 m² construídos | 2 quartos ,289.000
188, Campestre - Campestre - Santo André - São Paulo , 150 m² construídos | 3 quartos ,1.500
189, Casa Branca - Casa Branca - Santo André - São Paulo , 78 m² construídos | 3 quartos ,320.000
190, Indaiatuba - São Paulo , 240 m² construídos | 3 quartos ,1.150.000
191, Av. Monteiro Lobato 10374 - Vila Oceanopolis - Mongaguá - São Paulo , 70 m² construídos | 2 quartos ,225.000
192, Avenida Marechal Rondon - Riachuelo - Rio de Janeiro Zona Norte - Rio de Janeiro , 52 m² construídos | 2 quartos ,1.300
193, Avenida Paralela 0 - Patamares - Salvador - Bahia , 458 m² construídos | 4 quartos ,2.900.000
194," Alameda dos Vidoeiros, 6 - Sítios de Recreio Gramado - Campinas - São Paulo ", 270 m² construídos | 3 quartos ,2.200.000
195, Piscinas Naturais 0 - Praia do Forte - Mata de São João - Bahia , 543 m² construídos | 5 quartos ,3.500.000
196," Rua Lazaro Marchete, 34 - Swiss Park - Campinas - São Paulo ", 236 m² construídos | 4 quartos ,5.700
197, Rua Hortência Albuquerque Orlandino - Parque Pinheiros - Taboão da Serra - São Paulo , 40 m² construídos | 1 quarto ,660
198, Avenida Monteiro Lobato 10374 - Balneario Jussara - Mongaguá - São Paulo , 56 m² construídos | 2 quartos ,156.000
199," Rua Paulo VI, 160 - Jardim Soleil - Valinhos - São Paulo ", 280 m² construídos | 4 quartos ,5.000
200," Alameda Des. Teodomiro de Tolêdo Piza, 362 - Jardim São Nicolau - Atibaia - São Paulo ", 606 m² construídos | 3 quartos ,2.100.000
201, Av. Monteiro Lobato 7208 - Santa Eugenia - Mongaguá - São Paulo , 70 m² construídos | 3 quartos ,298.000
202," Orlando Fagnani, 378 - Jardim Planalto - Campinas - São Paulo ", 550 m² construídos | 1 quarto ,3.850.000
203, Beta 60 - Sacomã - São Paulo Zona Sul - São Paulo , 90 m² construídos | 2 quartos ,1.700
204, Rua Doutor Álvaro Martins Servilha 30 - Butantã - São Paulo Zona Oeste - São Paulo , 272 m² construídos | 5 quartos ,890.000
205," Doutor Heitor Penteado, 1785 - Parque Taquaral - Campinas - São Paulo ", 600 m² construídos | 8 quartos ,3.800.000
206, Rua Antônio Marques Serra - Jardim Antonio Von Zuben - Campinas - São Paulo , 120 m² construídos | 2 quartos ,1.300
207, Ubatuba - São Paulo , 355 m² construídos | 6 quartos ,3.500.000
208, Rua Orlando Calixto - Parque Independência - São Paulo Zona Oeste - São Paulo , 80 m² construídos | 2 quartos ,920
209, Rua Christiano Seleguin 00 - Brescia - Indaiatuba - São Paulo , 138 m² construídos | 3 quartos ,660.000
210, Ubatuba - São Paulo , 100 m² construídos | 2 quartos ,300.000
211, Jardim Paiquerê - Valinhos - São Paulo , 810 m² construídos | 5 quartos ,5.000.000
212," Avenida Araçá, 626 - Loteamento Alphaville Campinas - Campinas - São Paulo ", 509 m² construídos | 3 quartos ,4.650.000
213, R Algeciras - Jardim das Maravilhas - Santo André - São Paulo , 50 m² construídos | 1 quarto ,950
214, Av. Monteiro Lobarto 7208 - Santa Eugenia - Mongaguá - São Paulo , 70 m² construídos | 2 quartos ,150.000
215," Estrada Municipal Adelina Segantini Cerqueira Leite, 10000 - Chácara São Rafael - Campinas - São Paulo ", 320 m² construídos | 4 quartos ,2.900.000
216, Escritório Imobiliário Roberto Lorenzato 115 - Centro - Peruíbe - São Paulo , 168 m² construídos | 3 quartos ,812.000
217, Av. Monteiro Lobato 10374 - Agenor De Campos - Mongaguá - São Paulo , 60 m² construídos | 2 quartos ,175.000
218, Av. Monteiro Lobato 10374 - Jardim Das Palmeiras - Itanhaém - São Paulo , 100 m² construídos | 2 quartos ,330.000
219, Rua Augusta - Vila Augusta - Guarulhos - São Paulo , 129 m² construídos | 3 quartos ,680.000
220, Vila Brandina - Campinas - São Paulo , 578 m² construídos | 5 quartos ,2.300.000
221, Av. Monteiro Lobato 10374 - Jardim Suarão - Itanhaém - São Paulo , 68 m² construídos | 2 quartos ,200.000
222, Alameda Baden Powell 400 - Urbanova VI - São José dos Campos - São Paulo , 580 m² construídos | 5 quartos ,2.300.000
223, Avenida Monteiro Lobato 10374 - Itaoca - Mongaguá - São Paulo , 80 m² construídos | 2 quartos ,310.000
224, Rua Celso Vieira - Vila Pereira Barreto - São Paulo Zona Norte - São Paulo , 50 m² construídos | 1 quarto ,800
225, Rua Protocolo - Vila Conde do Pinhal - São Paulo Zona Sul - São Paulo , 50 m² construídos | 1 quarto ,850
226," Estrada Municipal Adelina Segantini Cerqueira Leite, 10000 - Chácara São Rafael - Campinas - São Paulo ", 300 m² construídos | 3 quartos ,2.900.000
227, Escritório Imobiliário Roberto Lorenzato 115 - Estancia Balnearia Maria Helena Novães - Peruíbe - São Paulo , 174 m² construídos | 5 quartos ,700.000
228, Av. Monteiro Lobato 10374 - Agenor De Campos - Mongaguá - São Paulo , 60 m² construídos | 2 quartos ,160.000
229, Rua Emma Gobbi Soncini - Jardim Bom Clima - Guarulhos - São Paulo , 200 m² construídos | 3 quartos ,620.000
230," Coronel Francisco Andrade Coutinho, 32 - Cambuí - Campinas - São Paulo ", 274 m² construídos | 1 quarto ,11.000
231, Rua Soldado Francisco Franco - Vila Rosália - Guarulhos - São Paulo , 137 m² construídos | 2 quartos ,1.200
232, Rua Cândido Borges Monteiro - Vila Constança - São Paulo Zona Sul - São Paulo , 57 m² construídos | 2 quartos ,1.500
233, Rua Algeciras - Jardim das Maravilhas - Santo André - São Paulo , 200 m² construídos | 3 quartos ,2.000
234, Av. Monteiro Lobato 10374 - Jardim Nova Itanhaem - Itanhaém - São Paulo , 60 m² construídos | 2 quartos ,179.000
235, Av. Monteiro Lobato 10374 - Jardim Grandesp - Itanhaém - São Paulo , 65 m² construídos | 2 quartos ,269.000
236, Rua Professor João Ricardo Lima 14 - Parque 10 de Novembro - Manaus - Amazonas , 500 m² construídos | 5 quartos ,1.500.000
237, Rua General Bitencourt - Centro - Osasco - São Paulo , 100 m² construídos | 2 quartos ,2.000
238, Rua Visconde de Alcântara - Vila Alpina - São Paulo Zona Leste - São Paulo , 60 m² construídos | 2 quartos ,1.160
239, Travessa Tulipa Real - Vila Celeste - São Paulo Zona Norte - São Paulo , 40 m² construídos | 1 quarto ,700
240, Rua Luiz Calefe 38 - Vila Janete - Campinas - São Paulo , 80 m² construídos | 2 quartos ,1.350
241, Rua Arminda de Lima - Centro - Guarulhos - São Paulo , 265 m² construídos | 3 quartos ,960.000
242," Rua Marieta Neumann, nº 165, Casas 1-9, Guaratiba, Rio de Janeiro/RJ 165 - Campo Grande - Rio de Janeiro Zona Oeste - Rio de Janeiro ", 2 m² construídos ,1.300
243, avenida vereador benedito de campos 113 - Centro - Ibiúna - São Paulo , 100 m² construídos | 2 quartos ,220.000
244, Quadra Qc 13 Jardins Mangueiral Qc 13 - Asa Sul - Brasília - Distrito Federal , 144 m² construídos | 3 quartos ,2.430
245, Avenida Clemente Rosa - Vila Maringá - Jundiaí - São Paulo , 115 m² construídos | 2 quartos ,1.416
246, av monteiro lobato 10374 - Cibratel II - Itanhaém - São Paulo , 70 m² construídos | 3 quartos ,200.000
247, Rua Presbítero Francisco Rocha de Oliveira 10 - Jundiaí - São Paulo , 233 m² construídos | 3 quartos ,1.590.000
248, Rua Valdemar Pereira - Vila Medeiros - São Paulo Zona Norte - São Paulo , 30 m² construídos | 1 quarto ,1.250
249, R Mairiporã - JardimCaicara - Cabo Frio - Rio de Janeiro , 60 m² construídos | 1 quarto ,1.200
250, Rodovia Tertuliano Brito Xavier - Canasvieiras - Florianópolis - Santa Catarina , 300 m² construídos | 3 quartos ,5.900
251, Avenida Monteiro Lobato 10374 - Balneario Itaguai - Mongaguá - São Paulo , 90 m² construídos | 2 quartos ,215.000
252, avenida vereador benedito de campos 113 - Centro - Ibiúna - São Paulo , 433 m² construídos | 5 quartos ,1.200.000
253, Rua Mogi Mirim - Santa Maria - Santo André - São Paulo , 90 m² construídos | 2 quartos ,1.400
254, Rua Lúcio Cardim Filho - Jardim Sapopemba - São Paulo Zona Leste - São Paulo , 125 m² construídos | 3 quartos ,1.280
255, R. Anna Sanches Perez 166 - Aliança - Osasco - São Paulo , 300 m² construídos | 3 quartos ,650.000
256, Av Monteiro Lobato 10374 - Vera Cruz - Mongaguá - São Paulo , 83 m² construídos | 2 quartos ,259.000
